,lat,lon,turbine_type,rotor_diameter,rated_turbine_power,wind_turbines,wind_capacity_MW,PV_capacity_MW,electrolyzer_capacity_MW,CO2_capture_tonph,heatpump_capacity_MW,battery_capacity_MWh,H2stor_capacity_MWh,CO2stor_capacity_ton,H2tL_capacity_MW,curtailed_el_MWh,wind_production_MWh,PV_production_MWh,NPV_EUR,CAPEX_EUR,LCOF_MWh,LCOF_liter,runtime
12,46.5,9.375,N131/3300,131.0,3300.0,8.0,26.4,66.13140264308551,21.169445161206532,2.299403790900805,5.431091030146435,4.117860935423724,414.585199504126,1785.0452841113856,1.2170952726440902,0.16257909990188887,15426.30267799759,79832.57211276857,169928772.595338,107697406.00874902,1037.894523650262,9.91765878154695,669.7048211097717
13,46.5,10.0,GE120/2500,120.0,2500.0,22.0,55.0,85.12097219449507,29.386919103574744,2.245958427945626,5.220705552795389,9.620685269850965,2853.735534815898,2063.5943635910735,1.209173365241335,34.309882676155254,20313.347797681807,76190.50795033878,304524188.76023024,213504096.87275207,1859.9792313332632,17.773134877184514,442.11014699935913
14,46.5,10.625,GE120/2500,120.0,2500.0,3.0,7.5,104.73197222922607,23.531228568093105,1.8620033822416093,4.256677502100049,31.42000540444713,3479.735351487382,2201.3978979108156,1.2218740905029888,105.09868127492024,1955.1030391788483,117349.1167092587,265098179.15951544,191521032.52743977,1619.1722224377775,15.472090125516539,535.7708251476288
15,47.0,6.25,N131/3300,131.0,3300.0,5.0,16.5,15.394737663848705,11.042490555148303,1.2227863158118806,2.72403116399717,0.0,179.33180788956554,474.79028088037063,1.2765898218271907,0.0,68393.74602760315,16609.924514239512,74301648.94084004,44902247.60069689,453.8211708121164,4.336513409982446,991.5999619960785
16,47.0,6.875,N131/3300,131.0,3300.0,6.0,19.8,24.58829701607138,11.38385190662922,1.3980982272486053,3.117182357523285,0.0,253.45508763902995,739.5390330399736,1.1597030999945654,0.0,58231.02872000313,31694.06921662882,91676905.82633331,56581412.03366074,559.946129481798,5.350596348381626,723.3309879302979
17,47.0,7.5,N131/3300,131.0,3300.0,7.0,23.1,34.312958760797486,17.21993740212094,1.3396437513702237,2.9701410403031363,1.091051715178622,1016.5592913284496,1095.9658285771227,1.1624795647927095,2193.0959165060103,46590.63052295494,39331.618088516465,133300818.07583936,89821326.53202552,814.1775343042125,7.779918661129142,685.437824010849
18,47.0,8.125,N131/3300,131.0,3300.0,8.0,26.4,44.62341424437251,19.48343090834482,1.5090099788165472,3.39345133155131,1.8359457269140103,779.3080876175123,1194.4120285309548,1.1628025015032453,0.0,35656.533707878116,52018.28775466803,147150700.93200704,97908564.19225055,898.7701394885358,8.58824799955712,725.5005171298981
19,47.0,8.75,N131/3300,131.0,3300.0,7.0,23.1,55.37472358383596,19.76267383701931,1.9880670474667634,4.657641160779604,3.159863024549822,399.8520362232014,1236.254631112427,1.1983376452734062,30.06877152457263,24704.347576931,66609.36568093552,148784638.73153228,94497313.42472626,908.7499390728643,8.683610528918482,689.8493988513947
20,47.0,9.375,N131/3300,131.0,3300.0,14.0,46.2,55.95491676182626,27.610079588182487,1.9584036981681388,4.515155678200573,3.689132932204513,1433.5590406821846,1612.2647414364424,1.1682624761342764,1929.5289372055734,41777.75847745705,44578.07467704326,221082128.80219364,149942003.72490716,1350.3300662752736,12.903153966630393,743.5193328857422
21,47.0,10.0,N131/3300,131.0,3300.0,12.0,39.6,42.71133143286126,21.11920758565542,1.6722371473350408,3.8005771040658543,2.6274512844128366,1322.7613257604266,1452.1614334910064,1.1656925284409456,78.2458106450083,46257.09951102448,41814.47291584764,183149429.8040051,124214485.97691788,1118.6439312188622,10.689264231646906,773.5004289150238
22,47.0,10.625,N131/3300,131.0,3300.0,12.0,39.6,60.73222022203641,25.517690733950854,1.9555015566525684,4.5811021252092,4.056912310831839,882.175836940292,1733.9994624921999,1.1796463436434892,276.4684483647921,30721.30069771385,57640.587641380036,198931063.54087836,132379189.23750931,1215.035324975121,11.610337549762269,606.8751339912415
23,47.5,6.875,N131/3300,131.0,3300.0,6.0,19.8,13.577955477594339,10.873653244207851,1.352636642506658,3.0686539472578236,0.0,187.05219789541007,744.0767320996063,1.1999143366902651,4801.837028915182,74851.44964555836,16081.47846080907,78912457.38525054,47183758.7632123,481.983163398564,4.605616894697389,822.3795771598816
24,47.5,7.5,N131/3300,131.0,3300.0,7.0,23.1,24.688076140701625,12.690243271285624,1.4578452201912588,3.264300752497763,0.48679974141489146,260.52164048568346,851.1820515013776,1.1666021410441223,56.434160744802476,67951.61939561271,23257.7902249049,99713719.7078097,61877226.352492765,609.0335499802947,5.819653922033927,708.9428389072418
25,47.5,8.125,N131/3300,131.0,3300.0,6.0,19.8,25.891899461347965,13.632568196805735,1.097778193831964,2.369223919698806,0.4976041834959764,504.8976239047645,610.2154848985984,1.150986395340811,0.0,56809.94077923489,31368.929209035487,99455712.94424236,65325757.749763615,607.4576908548423,5.804595712612938,656.3686878681183
26,47.5,8.75,N131/3300,131.0,3300.0,6.0,19.8,27.571544042803087,13.923281835562602,1.195816725084411,2.6132434736845496,0.9314587285111083,572.8229051819127,809.1120625405799,1.1542893835168042,0.0,52210.34544475078,34386.651279189995,104479564.57829323,68494775.73979917,638.1424773037493,6.097805894235826,728.7682061195374
27,47.5,9.375,N131/3300,131.0,3300.0,7.0,23.1,36.40026493758102,17.379610137445123,1.2149346138686694,2.6608381688644798,1.3024808330627242,518.1824417549628,1027.0528113656956,1.1549029625987537,6.140831734781197,42962.326353749275,43937.870547681625,121647731.72514695,80693390.06634173,743.0025689214573,7.099802325249481,774.1591899394989
28,48.0,8.75,N131/3300,131.0,3300.0,5.0,16.5,20.920325969117414,11.905891999440307,1.0897569434486811,2.420326216491376,0.022911403932881002,258.79294778508546,482.42613266641087,1.1658977842420504,1639.3741506555102,60549.90755732298,24770.488534652126,81015606.29990944,51175125.15926482,494.82882047950824,4.728364284581967,861.0239868164062
