,lat,lon,turbine_type,rotor_diameter,rated_turbine_power,wind_turbines,wind_capacity_MW,PV_capacity_MW,electrolyzer_capacity_MW,CO2_capture_tonph,heatpump_capacity_MW,battery_capacity_MWh,H2stor_capacity_MWh,CO2stor_capacity_ton,H2tL_capacity_MW,curtailed_el_MWh,wind_production_MWh,PV_production_MWh,NPV_EUR,CAPEX_EUR,LCOF_MWh,LCOF_liter,runtime
10,47.0,11.25,N131/3300,131.0,3300.0,12.0,39.6,39.12415919485712,20.958142798112494,1.737320801802798,4.035791506230911,2.978696286004011,701.3524901918536,1278.3502934680678,1.179104671304002,15.240955758085656,51306.460023576736,36813.520782068954,164938403.4182273,108325632.42735639,1007.4142420545697,9.626402757410332,671.5733549594879
11,47.0,11.875,N131/3300,131.0,3300.0,11.0,36.3,58.88319576210492,24.19141727216303,1.979117319831858,4.635314029933545,3.1927386637302617,480.4724247056756,1265.3213981709343,1.198156708765719,2.1553961629556517,39989.329763235095,47054.20061617206,179995172.42128178,117152189.56925157,1099.378291776459,10.505170343641721,624.1551380157471
12,47.0,12.5,N131/3300,131.0,3300.0,9.0,29.7,54.43447121246558,21.365790303610357,1.8104173499621314,4.213675437752104,3.2418726450496855,413.6174084040617,992.1912150473142,1.1977298203727953,10.04461246963986,33059.78201108551,53563.00145690018,158383225.76871705,102629640.0866712,967.376390429624,9.243818841883074,669.7863941192627
13,47.0,13.125,N131/3300,131.0,3300.0,10.0,33.0,43.89941802573661,21.65796900491013,1.6091444695702597,3.64497991381766,2.6145297996660855,823.3740395378234,1210.5090789249398,1.1591449696564082,0.6867183663781161,48196.270736055376,36773.09511634726,162046774.1878811,107868740.20127851,989.7526883531829,9.457636799819303,622.692615032196
14,47.0,13.75,N131/3300,131.0,3300.0,6.0,19.8,25.292913626379445,13.489714485841056,1.3034263509980577,2.94313737460929,0.8184090885687019,358.702755967299,221.8425066104395,1.209465118427354,0.0,56707.2700638485,28986.795192109177,97293485.47422996,61655608.035152584,594.2511925335945,5.6784002842099035,816.0294950008392
15,47.0,14.375,N131/3300,131.0,3300.0,6.0,19.8,14.15039317342237,13.281143717143099,1.3550734905830977,3.07771169536137,0.0066346538172544454,372.0115265894508,574.1123598656322,1.1885430640198427,9.224098038478445,70823.734827281,13716.045439924852,87657606.08898138,54072783.33969189,535.3969661906548,5.116015454710702,986.2457950115204
16,47.0,15.0,N131/3300,131.0,3300.0,6.0,19.8,17.33425971237211,12.883231618399027,1.24403187723629,2.752450869305892,0.21248183131779005,361.5594912291527,839.9205026372739,1.1555859673176285,114.11291074161832,68072.75497431279,20783.778435189743,88630969.59879217,55698441.99633107,541.3420962644144,5.172824475415515,1050.99387216568
17,47.0,15.625,N131/3300,131.0,3300.0,8.0,26.4,20.85494865522733,15.705076267488964,1.1623539571305948,2.5261652308453684,0.0,610.8075141177358,1060.9762817301078,1.1647842392058843,0.0,70074.76216630555,26703.81118445889,111149227.09989265,73375378.1790326,678.8795820332008,6.487071561650587,764.133131980896
18,47.0,16.25,N131/3300,131.0,3300.0,5.0,16.5,16.758664430733322,11.481274905373366,1.1463405109932472,2.5625249119706583,0.0,370.4307180313325,785.4441123313371,1.1630612174557515,1803.2340108087922,65240.16715645075,22591.585961200937,80184812.81238078,50441848.50366539,489.75448258004195,4.679876166875957,873.489039182663
19,47.5,9.375,N131/3300,131.0,3300.0,7.0,23.1,36.196913341126404,16.747321424429934,1.2313335808503494,2.7016367953657463,1.111814049074916,512.0439489932102,1023.6411724278558,1.1555127507979348,0.0,42962.326353749275,44077.15801642673,120435977.24607885,79679898.24436691,735.60138948242,7.029079943943126,870.8294911384583
20,47.5,10.0,N131/3300,131.0,3300.0,8.0,26.4,32.12023513782163,14.554086133507006,1.521704538457673,3.499841958197957,1.0531265312734293,322.09098975021084,567.3223210925005,1.167252254395037,3252.4398864476602,51859.27309349441,36843.46592847384,116422931.61177425,73758344.55320725,711.0904251331277,6.794864062383221,905.5201840400696
21,47.5,10.625,N131/3300,131.0,3300.0,10.0,33.0,32.86252952473377,14.276031519255358,2.0534268283109154,4.815027104518508,1.1019760994898409,299.83013939607497,749.503156001615,1.221395576145637,11235.109017703599,66166.34568527222,26089.293702819923,131740800.56806442,80618067.55354427,804.649226629244,7.688870387790555,1110.63649392128
22,47.5,11.25,N131/3300,131.0,3300.0,8.0,26.4,34.30350659533805,18.367274881669864,1.4042510652208338,3.198304053136876,1.6207063001005386,434.0281870722207,214.9272921951817,1.1975598539693557,0.16926843479899936,54205.40341318512,31200.377085217173,125836703.55327162,81791930.28419293,768.5880589696277,7.344285896820887,851.9671761989594
23,47.5,11.875,N131/3300,131.0,3300.0,7.0,23.1,36.58478510362259,15.561925360616272,1.663756677725723,3.8351536776003434,1.5703635836524952,288.4288446864005,218.81942045032187,1.2432439291179596,0.0,47744.22581344795,37464.32833679935,117972152.63765001,73818665.11355358,720.5527898293604,6.885282213925,1143.406522989273
24,47.5,12.5,N131/3300,131.0,3300.0,7.0,23.1,31.754625009470832,15.828029685044367,1.463191902533806,3.328579129522367,1.3235216272112873,293.2506703767662,249.72933897083607,1.2630392132367643,0.2832378682545282,52911.809706338405,32732.249886443657,111907015.56357843,70842890.29950264,683.5080183158411,6.531298841684704,1071.2770698070526
